C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\6502df47a27bc94c9e4a7199a6c25f5b.dat | Amount: 11.06 | Date: 12/06/2026 | Text: '19:34\nOG\n257\n2026\n(3)\nSaldo cliente\n11.06.26.pdf\nPDF\n139.3KB Naobaixado\n12:51\njudy\n168/98889\njudy\n66/200k\njudy\n58/259500\njudy\n16/522500\njudy\n15/209400\njudy\n1/1000k\njudy\n991/361200\njudy\n6/600541'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\361c29c50582c485248f075b2b03dc57.dat | Amount: 12.06 | Date: 15/06/2026 | Text: '17:43G\n53\n2026\nDOOOO\n(3)\nSaldo cliente\n12.06.26.pdf\nPDF\n139.3KB\n12:49\njudy\n808/452395\n16:48\nmais out?\n17:30\njudy\n1/800k\njudy\n58/256750\njudy\n66/200k\njudy\n16/304878'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\07e4ef085cdd1360cc173a2733f8e07f.dat | Amount: None | Date: 04/07/2026 | Text: 'Disparoem andamento\nsotisfocoo pos venda\n e3:58 proximo envio\nO Pausar Campanha\nProgresso gerol: 71 de 99 processodos\n72%\nEnviodos: 32\n Pendentes: 28 X Folhos: 39\nDestinatarios (20 exibidos)\nGuilherme Interaminense\n1203633205327158758g-vs\nENVIADO\n Enviodo\nCledson\n1203411162441177649\nENVIADO\n√ Envlodo\nValeria Barbosa\n1203633224211265588g-\nENVIADO\n Enviodo\nWillan Mottos\n128363321626429637(g-e\nENVIADO\n√ Envlodo\nHussein Joafar\n1203633187688748148g-vs\nENVADO\n Enviodo'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\Temp\1781560548841.jpg | Amount: None | Date: 04/07/2026 | Text: 'Disparoem andamento\nsotisfocoo pos venda\n e3:58 proximo envio\nO Pausar Campanha\nProgresso gerol: 71 de 99 processodos\n72%\nEnviodos: 32\n Pendentes: 28 X Folhos: 39\nDestinatarios (20 exibidos)\nGuilherme Interaminense\n1203633205327158758g-vs\nENVIADO\n Enviodo\nCledson\n1203411162441177649\nENVIADO\n√ Envlodo\nValeria Barbosa\n1203633224211265588g-\nENVIADO\n Enviodo\nWillan Mottos\n128363321626429637(g-e\nENVIADO\n√ Envlodo\nHussein Joafar\n1203633187688748148g-vs\nENVADO\n Enviodo'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\Temp\1781560548858.jpg | Amount: None | Date: 04/07/2026 | Text: 'Disparoem andamento\nsotisfocoo pos venda\n e3:58 proximo envio\nO Pausar Campanha\nProgresso gerol: 71 de 99 processodos\n72%\nEnviodos: 32\n Pendentes: 28 X Folhos: 39\nDestinatarios (20 exibidos)\nGuilherme Interaminense\n1203633205327158758g-vs\nENVIADO\n Enviodo\nCledson\n1203411162441177649\nENVIADO\n√ Envlodo\nValeria Barbosa\n1203633224211265588g-\nENVIADO\n Enviodo\nWillan Mottos\n128363321626429637(g-e\nENVIADO\n√ Envlodo\nHussein Joafar\n1203633187688748148g-vs\nENVADO\n Enviodo'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\ded7c2731b2824af3383ebaee8d2d6c0.dat | Amount: None | Date: 04/07/2026 | Text: '19:53\n·OG\n163\n2026\nDOOOPO\n(3)\n230850/116\n17:00\nno\n17:18\njudy\n116/379362\njudy\n66/200k\njudy\n66/200k\njudy\n168/189394\n17:36\njudy\n991/217101\njudy\nmaisdeontem'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\Temp\1781650452217.png | Amount: None | Date: 04/07/2026 | Text: 'judy\n116/379362\njudy\n66/200k\njudy\n66/200k\njudy\n168/189394\n17:36\njudy\n991/217101\njudy\nmais de ontem'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\Temp\1781650452215.png | Amount: None | Date: 04/07/2026 | Text: 'judy\n116/379362\njudy\n66/200k\njudy\n66/200k\njudy\n168/189394\n17:36\njudy\n991/217101\njudy\nmais de ontem'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\f8032d048c3330e719c8e7ba14f17430.dat | Amount: 16.06 | Date: 17/06/2026 | Text: '19:21G\n15\n245\n2026\n(3)\nOntem21:32\nSaldo cliente\n16.06.26.pdf\nPDF\n139.5KBNaobaixado\nVALEG+OUT...2026.\npdf\nPDF\n187.0KBNaobaixado\n15:27\n"judy”recordou uma mensagem.\njudy\n1/1500k\njudy\n566/400k\njudy\n168/136882\njudy\n168/107546\njudy\n65/1100k'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\fc5feebbf772b3a24aa8acfa517413f9.dat | Amount: 275.4 | Date: 18/06/2026 | Text: '17:32G\n92\n2026\n(3)\nAL\n1315564\n0095\n11\n301521\n42025\nOntem19:49\nVALEG+OUT...2026.\npdf\nPDF\n275.4KB\nVocerecuperou umamensagem.\nSaldo cliente\n17.06.26.pdf\nPDF\n139.5KB\n17:07\njudy\n116/538461\njudy\n69/209600\njudy\n66/65250\njudy\n15/157650'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\42b52811198189c1396a4e5da454efb2.dat | Amount: 17.06 | Date: 18/06/2026 | Text: '17:57\n·GO\n97\n2026\n(3)\n991\nAL\n1315564\n0095\n11\n301521\n42025\nOntem19:49\nVALEG+OUT\n17.06.2026.pdf\nPDF\n275.4KB\nVocerecuperou umamensagem.\nSaldo cliente\n17.06.26.pdf\nPDF\n139.5KB\nMultin\n17:07\njudy\n116/538461\njudy\n69/209600\njudy\n66/65250\njudy\n15/157650'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\bba9fd8f864369b738ea284772d76243.dat | Amount: 2.0 | Date: 23/06/2026 | Text: 'infinitepay\nComprovantedetransferenciaPix\nR$ 2\n257,00\n23JUn,2026·10:21:07（BRT)\nOrigem\n57.956.383FLAVIOJEANCOSTALIMA\nCNPJ\n57.956.383/0001-93\nInstituicao\nCLOUDWALKIPLTDA\nDestino\nCLEEND INTERMEDIACAO EATACADO LTDA\nCNPJ\n61.964.978/0001-68\nInstituicao\nBCOBRADESCOS.A.\nChavePix\n11....6666\nIDE18189547202606231320GRSoNxTHeun\nCloudwalkInstituicaodePagamento\nCNPJ—18.189.547/0001-42'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\04bfc7d77d83dbe37b5f4e94775dd9a9.dat | Amount: 23.06 | Date: 25/06/2026 | Text: '17:39\n128\n2026\n(3)\nOntem20:22\nVALEG+OUT\n23.06.2026.pdf\nPDF\n292.3KB Nao baixado\nSaldo cliente\n23.06.26.pdf\nPDF\n139.4KB Naobaixado\n14:59\njudy\n66/206225\n15:13\njudy\n16/533k\njudy\n113217/168\njudy\n28/100k\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\98df82707660a7fbabb92d9507fba7d2.dat | Amount: 25.06 | Date: 26/06/2026 | Text: '18:30G\n196\n2026\n(3)\nOntem 17:33\nSaldo cliente\n25.06.26.pdf\nPDF\n139.3KB Naobaixado\nVALEG+OUT...2026.\npdf\nPDF\n312.1 KB Naobaixado\n17:44\njudy\n116/389105\njudy\n58/387596\n"judy" recordou uma mensagem.\njudy\n6/724144\njudy\n1/1500k\njudy\n568/387358\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\fa8a45cec5412a9534385ca2793fcc37.dat | Amount: 26.06 | Date: 26/06/2026 | Text: '18:07G\n 2\n2026\n(3)\n26/06/202620:56\nVALEG+OUT\n26.06.2026.pdf\nPDF\n308.9KB\nSaldo cliente\n26.06.26.pdf\nPDF\n139.2KB\n17:08\n1no\n17:36\njudy\n15/156250\njudy\n6/422018\njudy\n566/203600\njudy\n116/158700\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-07\7f66b4babb56e1be571c920b4c0966d8.dat | Amount: 30.06 | Date: 01/07/2026 | Text: '17:14\nGL\n90\n2026\n(3)\n49000\n10973\n1001\n349425\n53983\n668\n611625\n2746896\n85\n690\n6435\n1125060\n1975295\n68\n1053974\n11960\n991\n0092\n960629\n1315559\n10230\nOntem19:23\nSaldo cliente\n30.06.26.pdf\nPDF\n139.4KB Naobaixado\nVALEG+OUT..2026.\npdf\nPDF\n324.2KB\n16:07\njudy\n1/1000k\njudy\n808/434k\njudy\n15/159900\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-07\8fce66613e0c4ee9e1241850b8171b3c.dat | Amount: 1.07 | Date: 02/07/2026 | Text: '16:53\n69\n2026\n(3)\nOntem 17:49\nVALEG+OUT\n01.07.2026.pdf\nPDF\n324.0KB\nSaldo cliente\n01.07.26.pdf\nPDF\n139.4KB\n16:10\njudy\n58/296875\njudy\n66/200k\njudy\n98/57484\njudy\n6/62647\n16:27\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-04\cd0ed956897c9afcfcb73377ae10c100.dat | Amount: 10.04 | Date: 03/07/2026 | Text: '16:26G\n四\n61\n2026\n(3)\nTU.U4.2U26.paT\nPDF\n137.3KB\nSaldo cliente\n10.04.26.pdf\nPDF\n139.4KB\n14:48\njudy\n15/149813\njudy\n116/260100\njudy\n6/373692\njudy\n1/500k\njudy\n168/223380\njudy\n58/224215\njudy\n66/300k\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-04\d23f64917b09972ec50d96fd972ee28a.dat | Amount: 7.04 | Date: 03/07/2026 | Text: '14:53G\n2026\n(3)\nSaldo cliente\n07.04.26.pdf\nPDF\n249.6KB\n14:04\njudy\n808/518041\njudy\n98/85151\n14:48\njudy\n1/700k\njudy\n1/207500\njudy\n116/413590\njudy\n16/261k\njudy\n168/336415\n5\n一'
